user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
114136453;36;250;;ES;1,2,3,4,5,6,7;1;33;39;8;;;0
114399279;19;1000;;US;;1;16;22;1;;;0
114409591;34;111;;CH;;1;31;52;18;;;0
114096540;23;0;;US;;1;20;26;0;;;0
114335978;53;703;;US;2;1;50;56;27;;;0
114366691;19;0;;US;;1;16;22;1;;;0
114272274;43;300;;PT;1,2,4,5;1;40;46;10;;;0
114205415;32;1000;;US;;1;29;35;1;;;0
114436984;23;1000;;US;1,2,5,6;1;17;21;1;;;0
114496867;29;0;;US;1,2,3,5;1;26;32;4;;;0
114115697;26;583;;AE;4;1;18;30;12;;;0
114495055;20;1000;;AR;1;1;17;23;5;;;0
114168145;25;142;;IL;2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,19,21,22,23,24;1;22;28;7;;;0
114457137;21;600;;US;;1;18;24;5;1;1;0
114444580;47;750;;CL;1,2;1;44;50;4;;;0
114091552;29;478;;US;1,2,7,8,9,10,11,12,13,15,16,17,18,19,20;1;26;32;23;;;0
114088932;29;250;;IT;1,2,3,4,5,6;1;26;32;8;;;0
114208942;16;0;;FR;;1;16;20;0;;;0
114178424;28;0;;FR;1;1;25;31;0;;;0
114203190;28;666;;ES;1,2,3,9;1;25;31;3;;;0
114452972;28;625;;US;1,2,3,4,5,6,7;1;25;31;8;;;0
114264181;51;629;;US;1,2,3,4,5,6,7,9,10,12,13,14,15,16,17,18;1;48;54;81;;;0
114351058;47;223;;FR;2,3,4,5,6,7,8,9,10,11,12,13;1;21;49;67;1;1;16432
114422819;25;500;;US;1;1;22;28;2;;;0
114399193;24;1000;;CL;1,2;1;21;27;5;;;0
114091266;32;640;;US;1,2,3,16,17,18;1;29;35;25;;;0
114343812;21;0;;US;1,2,3,4,5,6,7,9,10,11,12,13,14;1;18;27;0;;;0
114063946;30;225;;GB;1,2,3,4,5,6,7,8,9,10;1;25;35;31;;;0
114281918;25;500;;FR;1;1;22;28;2;;;0
114424342;25;0;;ES;1,2;1;22;28;0;;;0
114417122;30;0;;AR;1,2,3,4,5,6,7,8,9,10;1;20;47;7;;;0
114387184;22;500;;AE;1;1;19;25;14;;;0
114425442;20;1000;;FR;;1;18;23;1;;;0
114481878;26;300;;US;;1;23;88;20;;;0
114413070;37;0;;US;;1;34;40;0;;;0
114408720;31;800;;FR;1,5;1;70;99;5;;;0
114092465;31;0;;IT;2,3;1;25;45;0;;;0
114400365;21;37;;ES;2,3,4;1;18;24;27;1;1;10075
114328093;21;250;;ES;1,2,3,4,5,6,7,8,9,10,11;1;18;24;8;1;1;16536
114401891;42;0;;US;1,2,3,5,7,8;1;27;35;0;;;0
114143576;28;0;;AE;;1;25;31;0;;;0
114206372;28;500;;US;1;1;25;31;10;;;0
114187367;31;755;;AE;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24;1;16;99;553;;;0
114299603;53;579;;AM;1,2,3,5;1;16;99;1059;;;0
114053965;48;455;;US;1;1;45;51;101;1;;0
114065279;36;86;;AE;;1;33;39;23;;;0
